"variety","clone","site","year","flo","ver"
"Grenache","","Bellay",1997,157,237
"Grenache","","Bellay",1998,168,240
"Grenache","","Bellay",1999,135,205
"Grenache","","Bellay",2000,168,241
"Merlot","326Col1","Bergheim",1976,173,243
"Merlot","326Col1","Bergheim",1977,186,256
"Merlot","326Col1","Bergheim",1978,190,255
"Merlot","326Col1","Bergheim",1979,182,256
"Merlot","326Col1","Bergheim",1980,197,272
"Merlot","326Col1","Bergheim",1981,173,244
"Merlot","326Col1","Bergheim",1982,174,235
"Merlot","326Col1","Bergheim",1983,182,249
"Merlot","326Col1","Bergheim",1984,194,261
"Merlot","326Col1","Bergheim",1985,186,256
"Merlot","326Col1","Bergheim",1986,178,251
"Merlot","326Col1","Bergheim",1987,187,249
"Merlot","326Col1","Bergheim",1988,176,246
"Merlot","326Col1","Bergheim",1989,170,235
"Merlot","326Col1","Bergheim",1990,172,235
"Merlot","","Lafite",1954,167,230
"Merlot","","Lafite",1955,152,211
"Merlot","","Lafite",1956,170,235
"Merlot","","Lafite",1957,163,233
"Merlot","","Lafite",1958,163,230
"Merlot","","Lafite",1959,159,231
"Merlot","","Lafite",1960,151,207
"Merlot","","Lafite",1961,152,215
"Merlot","","Lafite",1962,168,228
"Merlot","","Lafite",1963,169,234
"Merlot","","Lafite",1964,161,219
"Merlot","","Lafite",1965,173,243
"Merlot","","Lafite",1966,160,222
"Merlot","","Lafite",1967,163,233
"Merlot","","Lafite",1968,171,245
"Merlot","","Lafite",1969,169,247
"Merlot","","Lafite",1970,166,229
"Merlot","","Lafite",1971,169,238
"Merlot","","Lafite",1972,178,248
"Merlot","","Lafite",1973,163,235
"Merlot","","Lafite",1974,165,226
"Merlot","","Lafite",1975,166,234
"Merlot","","Lafite",1976,156,231
"Merlot","","Lafite",1977,175,236
"Merlot","","Lafite",1978,172,246
"Merlot","","Lafite",1979,172,239
"Merlot","","Lafite",1980,172,243
"Merlot","","Lafite",1981,163,239
"Merlot","","Lafite",1982,158,225
"Merlot","","Lafite",1983,167,236
"Merlot","","Lafite",1984,171,234
"Merlot","","Lafite",1985,164,233
"Merlot","","Lafite",1986,171,244
"Merlot","","Lafite",1987,171,241
"Merlot","","Lafite",1988,167,235
"Merlot","","Lafite",1989,148,222
"Merlot","","Lafite",1990,143,211
"Merlot","","Lafite",1991,166,235
"Merlot","","Lafite",1992,147,217
"Merlot","","Lafite",1993,154,212
"Merlot","","Lafite",1994,157,235
"Merlot","","Lafite",1995,152,221
"Merlot","","Lafite",1996,158,228
"Merlot","","Lafite",1997,141,205
"Merlot","","Lafite",1998,155,207
"Merlot","","Lafite",1999,154,228
"Merlot","","Lafite",2000,152,220
"Merlot","","Lafite",2001,155,222
"Merlot","","Lafite",2002,155,226
"Merlot","","Lafite",2003,153,229
"Merlot","","Lafite",2004,160,217
"Merlot","","Lafite",2005,156,219
"Merlot","","Lafite",2006,158,232
"Sauvignon","","Bellay",1982,162,240
"Sauvignon","","Bellay",1983,164,224
"Sauvignon","","Bellay",1984,179,246
"Sauvignon","","Bellay",1985,183,269
"Sauvignon","","Bellay",1986,178,252
"Sauvignon","","Bellay",1990,161,253
"Sauvignon","","Bellay",1996,168,241
"Sauvignon","","Bellay",1998,168,252
"Sauvignon","","Bellay",1999,163,220
"Sauvignon","","Bellay",2000,166,252
"Syrah","150Col1","Bergheim",1976,171,236
"Syrah","150Col1","Bergheim",1977,182,249
"Syrah","150Col1","Bergheim",1978,188,258
"Syrah","150Col1","Bergheim",1979,179,249
"Syrah","150Col1","Bergheim",1980,194,262
"Syrah","150Col1","Bergheim",1981,174,242
"Syrah","150Col1","Bergheim",1982,174,239
"Syrah","150Col1","Bergheim",1983,181,244
"Syrah","150Col1","Bergheim",1984,193,256
"Syrah","150Col1","Bergheim",1985,186,251
"Syrah","150Col1","Bergheim",1986,178,243
"Syrah","150Col1","Bergheim",1987,187,253
"Syrah","150Col1","Bergheim",1988,174,239
"Syrah","150Col1","Bergheim",1989,170,231
"Syrah","150Col1","Bergheim",1990,172,240
"Syrah","","Bellay",1982,164,226
"Syrah","","Bellay",1983,165,228
"Syrah","","Bellay",1984,180,243
"Syrah","","Bellay",1985,186,254
"Syrah","","Bellay",1986,180,243
"Syrah","","Bellay",1990,161,228
"Syrah","","Bellay",1996,171,235
"Syrah","","Bellay",1997,159,225
"Syrah","","Bellay",1998,166,232
"Syrah","","Bellay",1999,167,231
"Syrah","","Bellay",2000,167,232
"Ugni blanc","74Col2","Bergheim",1976,174,250
"Ugni blanc","74Col2","Bergheim",1978,196,279
"Ugni blanc","74Col2","Bergheim",1979,185,270
"Ugni blanc","74Col2","Bergheim",1981,183,278
"Ugni blanc","74Col2","Bergheim",1982,179,255
"Ugni blanc","74Col2","Bergheim",1983,187,265
"Ugni blanc","74Col2","Bergheim",1984,197,329
"Ugni blanc","74Col2","Bergheim",1986,183,302
"Ugni blanc","74Col2","Bergheim",1987,195,300
"Ugni blanc","74Col2","Bergheim",1988,182,257
"Ugni blanc","74Col2","Bergheim",1989,173,261
"Ugni blanc","74Col2","Bergheim",1990,179,273
"Ugni blanc","","Bellay",1982,170,256
"Ugni blanc","","Bellay",1983,168,229
"Ugni blanc","","Bellay",1984,183,271
"Ugni blanc","","Bellay",1985,186,268
"Ugni blanc","","Bellay",1986,183,268
"Ugni blanc","","Bellay",1990,164,239
"Ugni blanc","","Bellay",1996,172,259
"Ugni blanc","","Bellay",1998,172,244
"Ugni blanc","","Bellay",1999,170,237
"Ugni blanc","","Bellay",2000,170,238
"Cabernet-Sauvignon","","Bergheim",1966,164,282
"Cabernet-Sauvignon","","Bergheim",1967,176,286
"Cabernet-Sauvignon","","Bergheim",1976,168,270
"Cabernet-Sauvignon","","Bergheim",1982,170,259
"Cabernet-Sauvignon","","Bergheim",1983,180,275
"Cabernet-Sauvignon","","Bergheim",1988,174,293
"Cabernet-Sauvignon","","Bergheim",1989,167,257
"Cabernet-Sauvignon","","Bergheim",1990,169,264
"Chardonnay","","Bergheim",1966,161,257
"Chardonnay","","Bergheim",1967,174,250
"Chardonnay","","Bergheim",1968,177,250
"Chardonnay","","Bergheim",1969,178,254
"Chardonnay","","Bergheim",1970,176,265
"Chardonnay","","Bergheim",1971,163,245
"Chasselas","","Bergheim",1965,183,241
"Chasselas","","Bergheim",1966,165,213
"Chasselas","","Bergheim",1967,177,237
"Chasselas","","Bergheim",1968,180,243
"Chasselas","","Bergheim",1969,183,229
"Chasselas","","Bergheim",1970,182,249
"Chasselas","","Bergheim",1971,169,223
"Chasselas","","Bergheim",1976,169,221
"Chasselas","","Bergheim",1977,183,248
"Chasselas","","Bergheim",1978,188,254
"Chasselas","","Bergheim",1979,179,242
"Chasselas","","Bergheim",1980,197,267
"Chasselas","","Bergheim",1981,172,233
"Chasselas","","Bergheim",1982,172,230
"Chasselas","","Bergheim",1983,179,236
"Chasselas","","Bergheim",1987,184,242
"Chasselas","","Bergheim",1991,183,250
"Chasselas","","Bergheim",1992,168,218
"Chasselas","","Bergheim",1993,159,214
"Chasselas","","Bergheim",1994,170,228
"Chasselas","","Bergheim",1995,179,233
"Chasselas","","Bergheim",1996,175,238
"Chasselas","","Bergheim",1998,161,221
"Chasselas","","Bergheim",1999,167,233
"Chasselas","","Bergheim",2000,160,222
"Chasselas","","Bergheim",2001,174,218
"Chasselas","","Bergheim",2004,172,226
"Chasselas","","Bergheim",2005,169,229
"Chasselas","","Bergheim",2006,169,226
"Chasselas","","Bergheim",2007,145,208
"Chasselas","","Bergheim",2008,169,235
"Grenache","","Bergheim",1965,190,277
"Grenache","","Bergheim",1966,169,270
"Grenache","","Bergheim",1967,174,260
"Grenache","","Bergheim",1968,182,266
"Grenache","","Bergheim",1969,184,256
"Grenache","","Bergheim",1970,187,265
"Grenache","","Bergheim",1985,181,258
"Merlot","","Bergheim",1965,183,245
"Merlot","","Bergheim",1966,161,230
"Merlot","","Bergheim",1967,174,240
"Merlot","","Bergheim",1968,179,247
"Merlot","","Bergheim",1969,181,244
"Merlot","","Bergheim",1970,178,251
"Merlot","","Bergheim",1971,163,226
"Pinot noir","","Bergheim",1965,178,252
"Pinot noir","","Bergheim",1966,163,229
"Pinot noir","","Bergheim",1967,174,228
"Pinot noir","","Bergheim",1968,175,251
"Pinot noir","","Bergheim",1969,178,243
"Pinot noir","","Bergheim",1970,176,247
"Pinot noir","","Bergheim",1971,164,227
"Pinot noir","","Bergheim",1975,173,227
"Pinot noir","","Bergheim",1976,163,220
"Pinot noir","","Bergheim",1977,177,246
"Pinot noir","","Bergheim",1978,182,248
"Pinot noir","","Bergheim",1979,175,238
"Pinot noir","","Bergheim",1980,189,259
"Pinot noir","","Bergheim",1981,169,232
"Pinot noir","","Bergheim",1982,166,229
"Pinot noir","","Bergheim",1983,175,235
"Pinot noir","","Bergheim",1984,187,250
"Pinot noir","","Bergheim",1985,179,254
"Pinot noir","","Bergheim",1986,173,231
"Pinot noir","","Bergheim",1987,182,246
"Pinot noir","","Bergheim",1988,172,235
"Pinot noir","","Bergheim",1989,165,227
"Pinot noir","","Bergheim",1990,168,229
"Pinot noir","","Bergheim",1991,180,240
"Pinot noir","","Bergheim",1992,166,228
"Pinot noir","","Bergheim",1993,156,215
"Pinot noir","","Bergheim",1994,169,229
"Pinot noir","","Bergheim",1995,176,234
"Pinot noir","","Bergheim",1996,171,220
"Pinot noir","","Bergheim",1998,160,228
"Pinot noir","","Bergheim",1999,164,222
"Pinot noir","","Bergheim",2000,156,229
"Pinot noir","","Bergheim",2001,171,238
"Pinot noir","","Bergheim",2003,154,208
"Pinot noir","","Bergheim",2004,170,219
"Pinot noir","","Bergheim",2005,166,224
"Pinot noir","","Bergheim",2006,168,231
"Pinot noir","","Bergheim",2007,144,225
"Pinot noir","","Bergheim",2008,163,224
"Sauvignon","","Bergheim",1965,183,280
"Sauvignon","","Bergheim",1966,166,255
"Sauvignon","","Bergheim",1967,174,257
"Sauvignon","","Bergheim",1968,180,279
"Sauvignon","","Bergheim",1969,182,264
"Sauvignon","","Bergheim",1970,182,257
"Sauvignon","","Bergheim",1971,174,265
"Syrah","","Bergheim",1965,183,257
"Syrah","","Bergheim",1966,164,232
"Syrah","","Bergheim",1967,175,239
"Syrah","","Bergheim",1968,180,248
"Syrah","","Bergheim",1969,182,247
"Syrah","","Bergheim",1970,184,250
"Syrah","","Bergheim",1971,174,240
"Ugni blanc","","Bergheim",1966,168,264
"Ugni blanc","","Bergheim",1967,178,293
"Ugni blanc","","Bergheim",1968,180,291
"Ugni blanc","","Bergheim",1969,183,260
"Ugni blanc","","Bergheim",1970,185,280
"Ugni blanc","","Bergheim",1971,180,239
"Cabernet-Sauvignon","322Mtp11","Vassal",1993,152,228
"Cabernet-Sauvignon","322Mtp11","Vassal",1994,144,212
"Cabernet-Sauvignon","322Mtp11","Vassal",1995,148,222
"Cabernet-Sauvignon","322Mtp11","Vassal",1996,150,223
"Cabernet-Sauvignon","322Mtp11","Vassal",1997,139,220
"Cabernet-Sauvignon","322Mtp11","Vassal",1998,147,231
"Cabernet-Sauvignon","322Mtp11","Vassal",1999,148,230
"Cabernet-Sauvignon","322Mtp11","Vassal",2000,150,224
"Cabernet-Sauvignon","322Mtp11","Vassal",2001,147,223
"Cabernet-Sauvignon","322Mtp11","Vassal",2002,147,221
"Cabernet-Sauvignon","322Mtp11","Vassal",2003,150,222
"Cabernet-Sauvignon","322Mtp11","Vassal",2004,154,221
"Cabernet-Sauvignon","322Mtp11","Vassal",2005,156,227
"Cabernet-Sauvignon","322Mtp11","Vassal",2006,147,223
"Cabernet-Sauvignon","322Mtp11","Vassal",2007,141,216
"Cabernet-Sauvignon","322Mtp11","Vassal",2008,148,220
"Cabernet-Sauvignon","322Mtp11","Vassal",2009,146,213
"Cabernet-Sauvignon","322Mtp11","Vassal",2018,148,218
"Cabernet-Sauvignon","322Mtp11","Vassal",2019,153,226
"Cabernet-Sauvignon","322Mtp12","Vassal",1993,152,226
"Cabernet-Sauvignon","322Mtp12","Vassal",1994,144,214
"Cabernet-Sauvignon","322Mtp12","Vassal",1995,148,219
"Cabernet-Sauvignon","322Mtp12","Vassal",1996,153,228
"Cabernet-Sauvignon","322Mtp12","Vassal",1997,137,221
"Cabernet-Sauvignon","322Mtp12","Vassal",1998,147,210
"Cabernet-Sauvignon","322Mtp12","Vassal",1999,148,219
"Cabernet-Sauvignon","322Mtp12","Vassal",2000,150,231
"Cabernet-Sauvignon","322Mtp12","Vassal",2001,147,218
"Cabernet-Sauvignon","322Mtp12","Vassal",2002,147,224
"Cabernet-Sauvignon","322Mtp12","Vassal",2003,150,224
"Cabernet-Sauvignon","322Mtp12","Vassal",2004,156,224
"Cabernet-Sauvignon","322Mtp12","Vassal",2005,156,227
"Cabernet-Sauvignon","322Mtp12","Vassal",2006,147,216
"Cabernet-Sauvignon","322Mtp12","Vassal",2007,144,212
"Cabernet-Sauvignon","322Mtp12","Vassal",2008,148,219
"Cabernet-Sauvignon","322Mtp12","Vassal",2009,146,216
"Cabernet-Sauvignon","322Mtp12","Vassal",2010,151,217
"Cabernet-Sauvignon","322Mtp12","Vassal",2011,136,208
"Cabernet-Sauvignon","322Mtp12","Vassal",2012,152,221
"Cabernet-Sauvignon","322Mtp12","Vassal",2013,154,224
"Cabernet-Sauvignon","322Mtp12","Vassal",2017,139,208
"Cabernet-Sauvignon","322Mtp12","Vassal",2018,142,225
"Cabernet-Sauvignon","322Mtp14","Vassal",1995,148,225
"Cabernet-Sauvignon","322Mtp14","Vassal",1998,147,221
"Cabernet-Sauvignon","322Mtp14","Vassal",1999,148,216
"Cabernet-Sauvignon","322Mtp14","Vassal",2000,150,223
"Cabernet-Sauvignon","322Mtp14","Vassal",2011,134,209
"Cabernet-Sauvignon","322Mtp14","Vassal",2012,149,217
"Cabernet-Sauvignon","322Mtp14","Vassal",2013,153,223
"Cabernet-Sauvignon","322Mtp14","Vassal",2017,139,214
"Cabernet-Sauvignon","322Mtp14","Vassal",2018,145,219
"Cabernet-Sauvignon","322Mtp14","Vassal",2019,147,223
"Cabernet-Sauvignon","322Mtp20","Vassal",2002,147,216
"Cabernet-Sauvignon","322Mtp20","Vassal",2003,150,221
"Cabernet-Sauvignon","322Mtp20","Vassal",2004,154,223
"Cabernet-Sauvignon","322Mtp20","Vassal",2005,150,216
"Cabernet-Sauvignon","322Mtp20","Vassal",2006,146,217
"Cabernet-Sauvignon","322Mtp20","Vassal",2007,138,212
"Cabernet-Sauvignon","322Mtp20","Vassal",2008,149,221
"Cabernet-Sauvignon","322Mtp20","Vassal",2009,149,229
"Cabernet-Sauvignon","322Mtp20","Vassal",2010,148,216
"Cabernet-Sauvignon","322Mtp20","Vassal",2011,133,216
"Cabernet-Sauvignon","322Mtp20","Vassal",2012,149,218
"Cabernet-Sauvignon","322Mtp20","Vassal",2013,154,230
"Cabernet-Sauvignon","322Mtp20","Vassal",2014,139,212
"Cabernet-Sauvignon","322Mtp23","Vassal",1987,158,232
"Cabernet-Sauvignon","322Mtp23","Vassal",1988,151,229
"Cabernet-Sauvignon","322Mtp23","Vassal",1989,150,220
"Cabernet-Sauvignon","322Mtp23","Vassal",1990,143,221
"Cabernet-Sauvignon","322Mtp23","Vassal",1991,158,239
"Cabernet-Sauvignon","322Mtp23","Vassal",1992,144,226
"Cabernet-Sauvignon","322Mtp23","Vassal",2002,145,227
"Cabernet-Sauvignon","322Mtp23","Vassal",2003,150,222
"Cabernet-Sauvignon","322Mtp23","Vassal",2004,159,224
"Cabernet-Sauvignon","322Mtp23","Vassal",2005,154,214
"Cabernet-Sauvignon","322Mtp23","Vassal",2006,148,216
"Cabernet-Sauvignon","322Mtp23","Vassal",2007,141,210
"Cabernet-Sauvignon","322Mtp23","Vassal",2008,148,217
"Cabernet-Sauvignon","322Mtp23","Vassal",2009,146,211
"Cabernet-Sauvignon","322Mtp23","Vassal",2010,150,223
"Cabernet-Sauvignon","322Mtp23","Vassal",2011,139,209
"Cabernet-Sauvignon","322Mtp23","Vassal",2012,150,234
"Cabernet-Sauvignon","322Mtp23","Vassal",2013,154,228
"Cabernet-Sauvignon","322Mtp23","Vassal",2014,143,209
"Cabernet-Sauvignon","322Mtp24","Vassal",1987,157,242
"Cabernet-Sauvignon","322Mtp24","Vassal",1988,151,226
"Cabernet-Sauvignon","322Mtp24","Vassal",1989,147,225
"Cabernet-Sauvignon","322Mtp24","Vassal",1990,143,211
"Cabernet-Sauvignon","322Mtp24","Vassal",1991,158,222
"Cabernet-Sauvignon","322Mtp24","Vassal",1992,144,223
"Cabernet-Sauvignon","322Mtp25","Vassal",1987,155,228
"Cabernet-Sauvignon","322Mtp25","Vassal",1988,151,224
"Cabernet-Sauvignon","322Mtp25","Vassal",1989,144,215
"Cabernet-Sauvignon","322Mtp25","Vassal",1990,143,217
"Cabernet-Sauvignon","322Mtp25","Vassal",1991,158,238
"Cabernet-Sauvignon","322Mtp25","Vassal",1992,144,209
"Cabernet-Sauvignon","322Mtp25","Vassal",2018,145,209
"Cabernet-Sauvignon","322Mtp26","Vassal",1987,154,228
"Cabernet-Sauvignon","322Mtp26","Vassal",1988,150,231
"Cabernet-Sauvignon","322Mtp26","Vassal",1989,144,213
"Cabernet-Sauvignon","322Mtp26","Vassal",1990,143,225
"Cabernet-Sauvignon","322Mtp26","Vassal",1991,156,224
"Cabernet-Sauvignon","322Mtp26","Vassal",1992,144,232
"Cabernet-Sauvignon","322Mtp28","Vassal",2010,151,222
"Cabernet-Sauvignon","322Mtp28","Vassal",2011,139,216
"Cabernet-Sauvignon","322Mtp28","Vassal",2012,150,230
"Cabernet-Sauvignon","322Mtp28","Vassal",2013,156,229
"Cabernet-Sauvignon","322Mtp28","Vassal",2017,138,218
"Cabernet-Sauvignon","322Mtp30","Vassal",1992,142,216
"Cabernet-Sauvignon","322Mtp30","Vassal",1993,146,221
"Cabernet-Sauvignon","322Mtp30","Vassal",1994,146,221
"Cabernet-Sauvignon","322Mtp4","Vassal",1993,152,216
"Cabernet-Sauvignon","322Mtp4","Vassal",1994,144,223
"Cabernet-Sauvignon","322Mtp4","Vassal",1995,148,208
"Cabernet-Sauvignon","322Mtp4","Vassal",1996,150,229
"Cabernet-Sauvignon","322Mtp4","Vassal",1997,137,212
"Cabernet-Sauvignon","322Mtp4","Vassal",1998,153,227
"Cabernet-Sauvignon","322Mtp4","Vassal",1999,148,224
"Cabernet-Sauvignon","322Mtp4","Vassal",2000,154,224
"Cabernet-Sauvignon","322Mtp4","Vassal",2001,144,217
"Cabernet-Sauvignon","322Mtp4","Vassal",2002,147,218
"Cabernet-Sauvignon","322Mtp4","Vassal",2003,150,212
"Cabernet-Sauvignon","322Mtp4","Vassal",2004,156,226
"Cabernet-Sauvignon","322Mtp4","Vassal",2005,154,218
"Cabernet-Sauvignon","322Mtp4","Vassal",2006,147,225
"Cabernet-Sauvignon","322Mtp4","Vassal",2007,144,225
"Cabernet-Sauvignon","322Mtp4","Vassal",2008,150,223
"Cabernet-Sauvignon","322Mtp4","Vassal",2009,146,214
"Cabernet-Sauvignon","322Mtp4","Vassal",2010,154,228
"Cabernet-Sauvignon","322Mtp4","Vassal",2011,136,211
"Cabernet-Sauvignon","322Mtp4","Vassal",2012,152,226
"Cabernet-Sauvignon","322Mtp4","Vassal",2013,154,235
"Cabernet-Sauvignon","322Mtp4","Vassal",2014,144,216
"Cabernet-Sauvignon","322Mtp4","Vassal",2017,139,213
"Cabernet-Sauvignon","322Mtp4","Vassal",2018,145,216
"Cabernet-Sauvignon","322Mtp4","Vassal",2019,147,215
"Chardonnay","199Mtp1","Vassal",1987,150,218
"Chardonnay","199Mtp1","Vassal",2000,150,218
"Chardonnay","199Mtp1","Vassal",2017,132,205
"Chardonnay","199Mtp1","Vassal",2018,140,202
"Chardonnay","199Mtp1","Vassal",2019,142,219
"Chardonnay","199Mtp12","Vassal",1987,154,223
"Chardonnay","199Mtp12","Vassal",1995,144,219
"Chardonnay","199Mtp12","Vassal",1996,147,209
"Chardonnay","199Mtp12","Vassal",1998,142,206
"Chardonnay","199Mtp12","Vassal",1999,145,212
"Chardonnay","199Mtp12","Vassal",2000,154,216
"Chardonnay","199Mtp12","Vassal",2001,144,217
"Chardonnay","199Mtp12","Vassal",2002,147,218
"Chardonnay","199Mtp12","Vassal",2003,146,213
"Chardonnay","199Mtp12","Vassal",2004,154,225
"Chardonnay","199Mtp12","Vassal",2005,150,220
"Chardonnay","199Mtp12","Vassal",2006,143,209
"Chardonnay","199Mtp12","Vassal",2007,141,208
"Chardonnay","199Mtp12","Vassal",2008,143,207
"Chardonnay","199Mtp12","Vassal",2009,142,204
"Chardonnay","199Mtp12","Vassal",2010,151,222
"Chardonnay","199Mtp12","Vassal",2011,134,205
"Chardonnay","199Mtp12","Vassal",2012,146,201
"Chardonnay","199Mtp12","Vassal",2013,154,226
"Chardonnay","199Mtp12","Vassal",2014,135,204
"Chardonnay","199Mtp12","Vassal",2017,132,202
"Chardonnay","199Mtp12","Vassal",2018,141,217
"Chardonnay","199Mtp12","Vassal",2019,142,213
"Chardonnay","199Mtp14","Vassal",1987,155,218
"Chardonnay","199Mtp14","Vassal",2002,143,213
"Chardonnay","199Mtp14","Vassal",2003,143,209
"Chardonnay","199Mtp14","Vassal",2004,154,220
"Chardonnay","199Mtp14","Vassal",2005,150,217
"Chardonnay","199Mtp14","Vassal",2006,143,220
"Chardonnay","199Mtp14","Vassal",2007,140,213
"Chardonnay","199Mtp14","Vassal",2008,143,208
"Chardonnay","199Mtp14","Vassal",2009,142,214
"Chardonnay","199Mtp14","Vassal",2010,148,214
"Chardonnay","199Mtp14","Vassal",2011,132,199
"Chardonnay","199Mtp14","Vassal",2012,146,210
"Chardonnay","199Mtp14","Vassal",2013,150,216
"Chardonnay","199Mtp14","Vassal",2014,135,206
"Chardonnay","199Mtp21","Vassal",1998,142,211
"Chardonnay","199Mtp21","Vassal",1999,148,215
"Chardonnay","199Mtp21","Vassal",2017,136,204
"Chardonnay","199Mtp21","Vassal",2018,141,202
"Chardonnay","199Mtp21","Vassal",2019,145,216
"Chardonnay","199Mtp29","Vassal",2002,143,212
"Chardonnay","199Mtp29","Vassal",2003,150,225
"Chardonnay","199Mtp29","Vassal",2004,156,211
"Chardonnay","199Mtp29","Vassal",2005,150,221
"Chardonnay","199Mtp29","Vassal",2006,144,217
"Chardonnay","199Mtp29","Vassal",2007,136,204
"Chardonnay","199Mtp29","Vassal",2008,142,214
"Chardonnay","199Mtp29","Vassal",2009,142,207
"Chardonnay","199Mtp29","Vassal",2010,147,212
"Chardonnay","199Mtp29","Vassal",2011,131,195
"Chardonnay","199Mtp29","Vassal",2012,146,207
"Chardonnay","199Mtp29","Vassal",2013,154,221
"Chardonnay","199Mtp29","Vassal",2014,135,202
"Chardonnay","199Mtp29","Vassal",2017,135,200
"Chardonnay","199Mtp29","Vassal",2018,143,213
"Chardonnay","199Mtp29","Vassal",2019,145,215
"Chardonnay","199Mtp31","Vassal",2001,144,210
"Chardonnay","199Mtp31","Vassal",2002,147,212
"Chardonnay","199Mtp31","Vassal",2003,146,221
"Chardonnay","199Mtp31","Vassal",2005,151,220
"Chardonnay","199Mtp31","Vassal",2006,145,219
"Chardonnay","199Mtp31","Vassal",2008,143,219
"Chardonnay","199Mtp31","Vassal",2010,147,217
"Chardonnay","199Mtp31","Vassal",2011,129,196
"Chardonnay","199Mtp31","Vassal",2012,147,212
"Chardonnay","199Mtp31","Vassal",2013,154,225
"Chardonnay","199Mtp31","Vassal",2014,135,208
"Chardonnay","199Mtp34","Vassal",2000,138,213
"Chardonnay","199Mtp39","Vassal",2002,147,218
"Chardonnay","199Mtp39","Vassal",2003,143,213
"Chardonnay","199Mtp39","Vassal",2004,154,224
"Chardonnay","199Mtp39","Vassal",2005,150,218
"Chardonnay","199Mtp39","Vassal",2006,142,210
"Chardonnay","199Mtp39","Vassal",2007,134,196
"Chardonnay","199Mtp39","Vassal",2008,140,213
"Chardonnay","199Mtp39","Vassal",2009,139,200
