"variety","clone","site","year","flo","ver"
"Cabernet-Sauvignon","","Lafite",1993,157,233
"Cabernet-Sauvignon","","Lafite",1994,155,240
"Cabernet-Sauvignon","","Lafite",1995,151,241
"Cabernet-Sauvignon","","Lafite",1996,158,247
"Cabernet-Sauvignon","","Lafite",1997,140,223
"Cabernet-Sauvignon","","Lafite",1998,159,252
"Cabernet-Sauvignon","","Lafite",1999,140,226
"Cabernet-Sauvignon","","Lafite",2000,161,244
"Cabernet-Sauvignon","","Lafite",2001,154,236
"Cabernet-Sauvignon","","Lafite",2002,150,242
"Cabernet-Sauvignon","","Lafite",2003,150,223
"Cabernet-Sauvignon","","Lafite",2004,159,248
"Cabernet-Sauvignon","","Lafite",2005,152,229
"Cabernet-Sauvignon","","Lafite",2006,154,236
"Cabernet-Sauvignon","","Bellay",1982,174,263
"Cabernet-Sauvignon","","Bellay",1983,174,257
"Cabernet-Sauvignon","","Bellay",1984,181,300
"Cabernet-Sauvignon","","Bellay",1985,184,283
"Cabernet-Sauvignon","","Bellay",1986,179,290
"Cabernet-Sauvignon","","Bellay",1987,182,273
"Cabernet-Sauvignon","","Bellay",1988,170,270
"Cabernet-Sauvignon","","Bellay",1989,164,238
"Cabernet-Sauvignon","","Bellay",1990,162,246
"Cabernet-Sauvignon","","Bellay",1996,169,270
"Cabernet-Sauvignon","","Bellay",1997,158,240
"Cabernet-Sauvignon","","Bellay",1998,164,271
"Cabernet-Sauvignon","","Bellay",1999,164,251
"Cabernet-Sauvignon","","Bellay",2000,165,250
"Chardonnay","199Col1","Bergheim",1976,167,238
"Chardonnay","199Col1","Bergheim",1977,180,293
"Chardonnay","199Col1","Bergheim",1979,178,276
"Chardonnay","199Col1","Bergheim",1981,168,266
"Chardonnay","199Col1","Bergheim",1982,166,247
"Chardonnay","199Col1","Bergheim",1983,179,247
"Chardonnay","199Col1","Bergheim",1984,187,292
"Chardonnay","199Col1","Bergheim",1985,181,265
"Chardonnay","199Col1","Bergheim",1986,176,265
"Chardonnay","199Col1","Bergheim",1987,187,265
"Chardonnay","199Col1","Bergheim",1988,174,252
"Chardonnay","199Col1","Bergheim",1989,170,249
"Chardonnay","199Col1","Bergheim",1990,172,257
"Chasselas","585Col1","Bergheim",1984,183,257
"Chasselas","585Col1","Bergheim",1985,181,235
"Chasselas","585Col1","Bergheim",1986,177,240
"Chasselas","585Col1","Bergheim",1988,180,245
"Chasselas","585Col1","Bergheim",1989,170,228
"Chasselas","585Col1","Bergheim",1990,166,220
"Chasselas","","Bellay",1982,161,213
"Chasselas","","Bellay",1983,161,218
"Chasselas","","Bellay",1984,181,236
"Chasselas","","Bellay",1985,184,262
"Chasselas","","Bellay",1986,179,229
"Chasselas","","Bellay",1990,161,225
"Chasselas","","Bellay",1996,168,219
"Chasselas","","Bellay",1998,165,225
"Chasselas","","Bellay",1999,167,229
"Chasselas","","Bellay",2000,166,231
"Grenache","34Col1","Bergheim",1976,174,260
"Grenache","34Col1","Bergheim",1977,186,259
"Grenache","34Col1","Bergheim",1978,193,284
"Grenache","34Col1","Bergheim",1979,184,256
"Grenache","34Col1","Bergheim",1980,201,275
"Grenache","34Col1","Bergheim",1981,181,252
"Grenache","34Col1","Bergheim",1982,178,232
"Grenache","34Col1","Bergheim",1983,185,258
"Grenache","34Col1","Bergheim",1984,196,253
"Grenache","34Col1","Bergheim",1986,184,260
"Grenache","34Col1","Bergheim",1987,193,264
"Grenache","34Col1","Bergheim",1988,182,255
"Grenache","34Col1","Bergheim",1989,173,229
"Grenache","34Col1","Bergheim",1990,175,248
"Grenache","","Bellay",1982,169,248
"Grenache","","Bellay",1985,185,253
"Grenache","","Bellay",1986,183,240
"Grenache","","Bellay",1990,162,241
"Grenache","","Bellay",1996,171,240
